,num,yyyymmdd,names,title,text,yyyymm,mm,mmdd,name
2,2,2019.12.30.,매경이코노미,[무비클릭] 캣츠 | 스크린서 느끼는 뮤지컬 ‘메모리’ 감동,반항아 ‘럼 텀 터거’ 등이 소개되며 한 명씩 자신의 특별한 장기와 캐릭터를 선보인다. 캐릭터가 부각되는... 무대처럼 퍼포먼스가 강조되는 고양이는 전문 무용수들이 연기하는 것 역시 이런 에피소드식 구성 방식과...,2019.12,12,12.30,럼
3,3,2019.12.29.,금강일보,"생활의달인 파운드케이크 지금 아니면 먹을 수 없다!""1년에 단 몇일만 판매""....",1년 이상 견과류를 럼에 절여주어 견과류의 맛을 최대한으로 끌어올렸으며 그렇게 절인 견과류를 파운드케이크에 가득 넣어줄수록 씹는 맛에 고소함까지 더해졌다.  또한 달인은 죽순에 코코넛을 잔뜩 뿌려 익힌 뒤...,2019.12,12,12.29,럼
4,4,2019.12.29.,CBC뉴스,'생활의 달인' 파운드케이크-의정부 오징어김밥-충북 보은 꼬막짬뽕-서울 3대...,1년 이상 견과류를 럼에 절여주어 견과류의 맛을 최대한으로 끌어올린다. 그렇게 절인 견과류를 파운드케이크에 가득 넣어줄수록 씹는 맛에 고소함까지 더해진다. 의정부 오징어 김밥 달인 류정선 임광태 달인 부부가...,2019.12,12,12.29,럼
5,5,2019.12.28.,톱스타뉴스,"[종합] '도레미마켓' 로제X홍석천 출연, 아이유에 이어 빅스 '사슬'까지 ""정답...","홍석천은 '룸'은 확실하다고 말했고 박나래는 ""그럼 블룸인가봐""라며 상황을 정리했다. 문세윤은 '며'도 일단... 도레미들은 경주마처럼 눈가리개까지 만들어 자기가 맡은 구간만 보기 위해 힘썼고, 곧 잔뜩 긴장한 채 힌트...",2019.12,12,12.28,럼
6,6,2019.12.28.,리얼푸드,[리얼푸드]요즘 트렌드인 '럼 레이즌' 활용법,최근 트렌드중 하나인 이 조리법은 럼 레이즌입니다. 레드와인이나 화이트와인 또는 사과주스나 오렌지주스 등에 서너시간 절이면 됩니다. 럼 레이즌을 만들어 놓은후 사과구이나 브리치즈구이에 사용해보세요....,2019.12,12,12.28,럼
7,7,2019.12.27.,뉴스컬처,'술 vs 살' 다이어터들을 위한 음주 꿀팁,"증류주는 맥주, 와인, 막걸리 같은 양조주를 한 번 더 증류시켜 만든 술로 위스키, 보드카, 럼 같은 쓴 술이라고 생각하면 된다. 물론 양조주보다 도수가 높지만 온더락으로 마시면 이야기가 달라진다. 게다가 독한...",2019.12,12,12.27,럼
8,8,2019.12.26.,대구신문,"뮤지컬 영화 '캣츠', '과유불급' 정교한 CG가 만들어낸 불편함","쥐들에게 음악이나 뜨개질을 가르치는 검비 고양이 '제니 에디닷', 바람둥이 고양이 '럼텀 터거', 부자... 그럼에도 불구하고 고양이의 몸짓과 흡사한 배우들의 움직임은 놀랍다. 특히 로열발레단 수석 무용수인...",2019.12,12,12.26,럼
9,9,2019.12.26.,톱스타뉴스,"[종합] 영화 '캣츠' 톰 후퍼 감독 ""박찬욱·봉준호 팬, 휴 잭맨은 한국 대단하...","데룰로가 '럼 텀 터거' 역에, 제임스 코든이 '버스토퍼 존스' 역에, 레이 윈스턴이 '그로울타이거' 역에, 레벨... 이런 것처럼 다음 세대가 즐길 수 있는 작품을 만들었다는 점에서 만족하고 있다""고 기뻐했다. 영화...",2019.12,12,12.26,럼
10,10,2019.12.26.,뉴스컬처,"[NC리뷰]'캣츠' 뮤지컬 이해 못한 감독의 욕심, 그 이하","소음처럼 다가온다. 가장 큰 문제는 그리자벨라다. 그리자벨라는 영화에서 '캣츠'의 대표 넘버 '메모리'를... 럼텀터거 역시 마찬가지. 럼텀터거는 '캣츠'에서 화려한 비주얼과 볼거리, 익살스러운 캐릭터로 상당한 매력을...",2019.12,12,12.26,럼
11,11,2019.12.26.,경남도민일보,선입견 없이 우리 춤과 노래에 취해봐,"발레와 현대무용, 브레이크댄스까지 고양이처럼 날쌘 배우들은 다양하고 수준 높은 춤으로 관객들 눈을... 이 밖에도 매력적인 고양이 럼텀터거, 기차 고양이 스킴블샹스 등이 보여주는 신나고 화려한 퍼포먼스는 절로...",2019.12,12,12.26,럼
12,12,2019.12.25.,쿡앤셰프,캘리포니아 레이즌 / 캘자연이 선물한 천연당,"요즘 해외에서 트렌드가 되어 가고 있는 럼레이즌의 경우 레이즌을 럼에 절여 고급스러운 식감을 구현하고 있는데, 이처럼 레드 와인, 화이트 와인, 사과 주스 혹은 오렌지 주스 등에 서너 시간 절이게 되면 기존...",2019.12,12,12.25,럼
13,13,2019.12.25.,이투데이,[알아두는 여행 tip] '지구 반대편' 페루는 크리스마스와 새해를 어떻게 보낼...,"폰체(Ponche)라 불리는 뜨겁고 달콤한 럼 펀치부터, 페루 전통 복장으로 차려입은 장인들의 모습 등이... 한국에서는 설날이 되면 떡국을 먹는 것처럼 페루에서는 크리스마스에 파네통이라 불리는 케이크를 먹는다....",2019.12,12,12.25,럼
14,14,2019.12.25.,W,서울 패션 디자이너 6인 인터뷰,그래서 비욘드 클로젯에서 만든 컬렉션이 아니고 어떤 신인 디자이너가 새롭게 론칭하는 브랜드처럼... 그럼에도 놓치지 않은 부분이 있었나? 옷을 만드는 즐거움이나 좋은 소재를 발견할 때의 기쁨. 그래서 매 시즌...,2019.12,12,12.25,럼
15,15,2019.12.25.,아시아경제,"[리뷰]'캣츠' 뮤지컬 모독한 괴작, 이게 최선일까","럼텀터거도 역부족이다. 럼텀터거는 '캣츠'에서 화려한 비주얼과 볼거리, 익살스러운 캐릭터로 상당한 매력을 발산한다. 하지만 영화에서 럼텀터거가 뮤지컬만큼 매력적으로 그려졌는지 의문이다. 배우의 캐스팅에도...",2019.12,12,12.25,럼
16,16,2019.12.25.,뉴스1,"지구 반대편, 페루에도 크리스마스가 찾아왔다","폰체(Ponche)라 불리는 뜨겁고 달콤한 럼 펀치, 페루 전통 복장으로 차려입은 장인들의 모습 등이 이색적인 분위기를 더한다. ◇크리스마스에 꼭 먹어야 할 디저트 '빠네통' 페루 크리스마스에서 빼놓을 수 없는 것이...",2019.12,12,12.25,럼
17,17,2019.12.24.,메디컬월드뉴스,연말연시 건강한 ‘캘리포니아 레이즌’ 레시피로 맛과 건강 잡기,"실제 최근 해외에서 트렌드가 되어 가고 있는 럼레이즌의 경우 레이즌을 럼에 절여 고급스러운 식감을 구현하고 있는데, 이처럼 레드 와인, 화이트 와인, 사과 주스 혹은 오렌지 주스 등에 서너 시간 절이게 되면 기존...",2019.12,12,12.24,럼
18,18,2019.12.24.,비즈한국,거세게 휘몰아치는 동양고주파와 슈톨렌,‘가토 드 뮤지끄(gâteau de musique)’는 우리에게 선물처럼 찾아온 뮤지션과 디저트를 매칭해 소개한다. 이제... 기타처럼 연주하는 최우영은 양금 연주자를 추천받기 위해 윤은화를 찾아간다. 그리고 윤은화는 이 기회를...,2019.12,12,12.24,럼
19,19,2019.12.24.,티티엘뉴스,[비주얼 뉴스] 지구 반대편 페루에서만 만날 수 있는 연말연시 이색 풍경,"폰체(Ponche)라 불리는 뜨겁고 달콤한 럼 펀치부터, 페루 전통 복장으로 차려입은 장인들의 모습 등이... 한국에서는 설날이 되면 떡국을 먹는 것처럼 페루에서는 크리스마스에 ‘빠네통’이라 불리는 케이크를 먹는다....",2019.12,12,12.24,럼
20,20,2019.12.24.,Queen,"자연의 선물 천연당, 캘리포니아 레이즌","요즘 해외에서 트렌드가 되어 가고 있는 럼레이즌의 경우 레이즌을 럼에 절여 고급스러운 식감을 구현하고 있는데, 이처럼 레드 와인, 화이트 와인, 사과 주스 혹은 오렌지 주스 등에 서너 시간 절이게 되면 기존...",2019.12,12,12.24,럼
21,21,2019.12.24.,푸드경제 오가닉라이프신문,"자연이 선물한 천연당, 캘리포니아 레이즌","요즘 해외에서 트렌드가 되어 가고 있는 럼레이즌의 경우 레이즌을 럼에 절여 고급스러운 식감을 구현하고 있는데, 이처럼 레드 와인, 화이트 와인, 사과 주스 혹은 오렌지 주스 등에 서너 시간 절이게 되면 기존...",2019.12,12,12.24,럼
22,22,2019.12.24.,소믈리에타임즈,"페루 '크리스마스 & 새해맞이' 여행, 마켓부터 디저트까지","폰체(Ponche)라 불리는 뜨겁고 달콤한 럼 펀치부터, 페루 전통 복장으로 차려입은 장인들의 모습 등이... 한국에서는 설날이 되면 떡국을 먹는 것처럼 페루에서는 크리스마스에 '빠네통'이라 불리는 케이크를 먹는다....",2019.12,12,12.24,럼
23,23,2019.12.24.,뉴스1,"[N리뷰] '캣츠', 분장 '허들' 넘으면 명품 뮤지컬 세계가 열린다","그 가운데 빅토리아는 고양이들의 왕이라 할 수 있는 올드 듀터러노미(주디 덴치 분)부터 악당 맥캐버티(이드리스 엘바 분), 반항아 럼 텀 터거(제이슨 데룰로 분), 화려한 과거를 등진 채 노쇠하고 지친 그리자벨라(제니퍼...",2019.12,12,12.24,럼
24,24,2019.12.24.,MBN,바람만 잡고 끝낸 ‘캣츠’ [M+Moview],"이로 인해 빅토리아를 비롯해 그리자벨라(제니퍼 허드슨 분), 럼 텀 터거(제이슨 데룰로 분), 맥캐버티(이드리스 엘바 분) 등의 이야기는 하나로 뭉쳐지지 않고 흩어지는 느낌이었다. 낱개의 퍼즐이 맞춰줘야 하는데 모양이...",2019.12,12,12.24,럼
25,25,2019.12.24.,텐아시아,"[TEN 리뷰] '캣츠', 화려한 퍼포먼스X웅장한 하모니···전개는 '글쎄'","듀터러노미 역의 주디 덴치, 거스 역의 이안 맥켈런, 맥캐버티 역의 이드리스 엘바, 럼 텀 터거 역의 제이슨 데룰로 등도 다양한 표정 연기와 개성 넘치는 열창으로 극의 디테일을 살렸다. 24일 개봉. 12세 관람가.",2019.12,12,12.24,럼
26,26,2019.12.24.,YTN,"[Y개봉작] 황홀함과 이질감 사이...'캣츠', 도전 통할까","영화에서는 '젤리클 송스 포 젤리클 캣츠'(Jellicle Songs For Jellicle Cats), '더 럼 텀 터거'(The Rum Tum Tugge), '맥케비티'(Macavity), '메모리'(Memory) 등 익숙한 뮤지컬 넘버와 눈을 뗄 수 없는 화려하면서도 황홀한 퍼포먼스가 쉴...",2019.12,12,12.24,럼
27,27,2019.12.24.,OSEN,"'캣츠' 뮤지컬 그 이상의 감동, 팝스타들의 매력적인 고양이 변신[오늘의 개봉...",뮤지컬 '캣츠'의 오리지널 넘버에 각 고양이들의 사연을 더해 옴니버스처럼 풀어낸다. 뮤지컬 거장... 제이슨 데룰로 역시 럼텀터거 역을 통해 섹시한 보이스와 춤선을 선보이며 퍼포먼스의 정점을 찍는다. 여기에...,2019.12,12,12.24,럼
28,28,2019.12.23.,TV리포트,"영화 ‘캣츠’, 원작 뮤지컬 향수에 21C 감성 한 스푼 [어땠어?]",그럼에도 스테디셀러 뮤지컬의 감동은 충분히 되새길 만하다. 아직 ‘캣츠’를 보지 못한 동료 기자들의... 제이슨 데룰로의 럼텀터거는 R&B 창법과 스트릿 댄스를 장착했다. 테일러 스위프트는 위험하지만 매혹적인...,2019.12,12,12.23,럼
29,29,2019.12.23.,금강일보,"생활의달인 파운드케이크 ""1년에 단 몇일만 판매""...실제 후기는?","1년 이상 견과류를 럼에 절여주어 견과류의 맛을 최대한으로 끌어올렸으며 그렇게 절인 견과류를 파운드케이크에 가득 넣어줄수록 씹는 맛에 고소함까지 더해졌다. 방문한 손님은 ""일반 파운드케이크는 버터 맛 정도만...",2019.12,12,12.23,럼
30,30,2019.12.22.,Queen,'생활의 달인' 부산돼지갈비·인절미호떡·파운드케이크·달력 달인…위치·가...,1년 이상 견과류를 럼에 절여주어 견과류의 맛을 최대한으로 끌어올린다. 그렇게 절인 견과류를 파운드케이크에 가득 넣어줄수록 씹는 맛에 고소함까지 더해진다. 좋은 재료라면 아낌없이 파운드에 넣어준다는 달인....,2019.12,12,12.22,럼
