,num,yyyymmdd,names,title,text,yyyymm,mm,name
0,0,2019.12.30.,IT동아,"[스케일업 코리아] 더코더: 국가가 인정한 위변조 방지 기술 '닷(DoT)', 이제...","이외에도 러시아는 담배와 보드카, 멕시코는 자동차 부품, 브라질은 식음료 짝퉁이 유통된다. 짝퉁 제품이 유통되는 국가의 공통점은 비슷하다. 자국 내 제품을 생산할 수 있는 인프라는 충분하지만, 대내외적으로...",2019.12,12,보드카
1,1,2019.12.30.,주간동아,[명욱의 술기로운 생활] 결혼만큼 잘 어울려야 하는 술과 안주의 ‘마리아주’,"와인엔 초코파이, 보드카엔 알탕, 치킨엔 맥주, 삼겹살엔 소주가 어울리는 이유 새 밀레니엄이라며... ‘북유럽의 소주’라 할 보드카는 40도 이상의 높은 알코올 도수와 무색·무취·무미라는 심플한 맛을 가진 술이다....",2019.12,12,보드카
2,2,2019.12.30.,세계일보,"다가오는 2020, 특급호텔서 특별하게 맞아볼까","흥인지문 야경이 한눈에 내려다보이는 클래식한 분위기에서 샴페인, 보드카와 셰프가 엄선하여 준비한 3단 트레이로 구성된 세트 메뉴를 즐길 수 있다. 3단 트레이의 1층에는 딸기 슈가 올려진 훈제 연어 무스, 트러플...",2019.12,12,보드카
3,3,2019.12.29.,머니S,취향존중 드링크로 개성파 홈파티족 공략,"하이트진로음료의 ‘진로믹서 토닉워터’ 시리즈는 소주, 보드카, 진(Gin)과 같은 주류뿐 아니라 에이드로도 손쉽게 만들어 먹을 수 있는 한국형 칵테일 믹서 제품이다. 토닉워터와 소주를 1:1의 비율로 믹싱해 마시는...",2019.12,12,보드카
4,4,2019.12.27.,뉴스컬처,'술 vs 살' 다이어터들을 위한 음주 꿀팁,"증류주는 맥주, 와인, 막걸리 같은 양조주를 한 번 더 증류시켜 만든 술로 위스키, 보드카, 럼 같은 쓴 술이라고 생각하면 된다. 물론 양조주보다 도수가 높지만 온더락으로 마시면 이야기가 달라진다. 게다가 독한...",2019.12,12,보드카
5,5,2019.12.27.,비즈한국,"대학생 필수 앱 '에브리타임', 담배·술·렌즈 '불법 직거래' 판친다","19일에는 보드카 한 병을 15만 원에 판매한다는 글이 올라왔다. 앞서 17일에 집에 남은 소주와 맥주를 ​각... #‘술’, ‘담배’ 키워드 차단해도 ‘던힐’ ‘보드카’로 검색 가능해 지역 기반 거래 플랫폼 ‘당근마켓’...",2019.12,12,보드카
6,6,2019.12.27.,국방일보,케케묵은 인사말로 새해 기분이 나겠어?,‘앱설루트(Absolut) 보드카 새해 광고(2012)’에서는 도시의 상징물을 형상화한 앱설루트 보드카 광고 스타일을 그대로 유지했다. 예를 들어 ‘마드리드’ 편에서 기타의 가운데를 앱설루트 병 모양으로 오려내 기타로...,2019.12,12,보드카
7,7,2019.12.27.,투어코리아뉴스,호텔에서 즐기는 우리들만의 새해맞이! 2020 카운트다운!,"아름다운 흥인지문의 야경이 한눈에 내려다보이는 클래식한 분위기의 '더 그리핀'에서 열리는 '치얼스 투 2020!'은 고객의 특성과 인원수에 따라 선택이 가능한 샴페인, 보드카와 셰프가 엄선해 준비한 3단 트레이로...",2019.12,12,보드카
8,8,2019.12.26.,아트인사이트,"[Review] 지리한 시대에 비상구 하나쯤, 창문 넘어 도망친 100세 노인 [연극]",보드카 한 잔과 유머로 그러한 변화를 대처하기에 변화는 너무나도 크다. 하지만 이런 비판적 시선에 대해... 그게 아니라면 내가 소설에서 쓴 것처럼 보드카를 몇 병이고 마시고 서로 마음을 트는 수 밖에 없다. 그렇게...,2019.12,12,보드카
9,9,2019.12.26.,위키트리,“부끄럽다...살려줘” 한예슬이 술 한잔하고 부른 곡 정체 (영상),"한예슬은 ""보드카 한 잔을 원샷하고 노래를 부를 거다""라며 ""아무래도 긴장돼서 그냥은 못 부를 것 같다""고 말했다.그는 ""나 노래 부르는 거 엄청나게 부끄러워한다""며 보드카를 마셨다. 준비를 마친 한예슬은 '그댄...",2019.12,12,보드카
10,10,2019.12.24.,파이낸셜뉴스언론사 선정,"폭음, 1시간 내 심장마비 위험이 무려 [굿모닝 건강]","맥주나 와인보다는 보드카, 위스키, 진 등 도수가 높은 술을 마셨을 때, 평소 술을 자주 마시지 않던 사람이 갑자기 폭음을 했을 때 이러한 위험이 더욱 두드러졌다. 연구팀은 폭음은 불과 1시간 만에 위험한 결과를...",2019.12,12,보드카
11,11,2019.12.24.,뷰어스,'언니네쌀롱' 한예슬 하차 방송 당일 '취중열창',동영상 속 한예슬은 보드카를 마시며 '그댄 달라요'를 불렀다. 한편 한예슬은 지난 5월 종영한 드라마 '빅이슈' 이후로 차기작에 대한 소식이 아직 전해지지 않은 상황이다.?,2019.12,12,보드카
12,12,2019.12.23.,직썰,핵폭탄보다 더 많은 인명을 살상한 소총 AK-47,"보드카 브랜드 세계에 손을 댔다가 실패한 바 있던 그는 영국 기업가의 제의를 받아 ‘칼라시니코프 82프루프 보드카’에 참여하기도 했다. 사망자들에 대한 책임, 말년에 참회 편지 ▲ 보드카와 칼라시니코프 이...",2019.12,12,보드카
13,13,2019.12.23.,디지틀조선일보,"식음료업계, ‘개인의 취향’ 고려한 개성파 홈파티족 공략","하이트진로음료의 ‘진로믹서 토닉워터’ 시리즈는 소주, 보드카, 진(Gin)과 같은 주류뿐 아니라 에이드로도 손쉽게 만들어 먹을 수 있는 한국형 칵테일 믹서 제품이다. 토닉워터와 소주를 1:1의 비율로 믹싱해 마시는...",2019.12,12,보드카
14,14,2019.12.22.,싱글리스트,나도 홈텐더 돼볼까...'취존 드링크'로 밀레니얼 홈파티족 공략,"하이트진로음료의 '진로믹서 토닉워터' 시리즈는 소주, 보드카, 진과 같은 주류뿐 아니라 에이드로도 손쉽게 만들어 먹을 수 있는 한국형 칵테일 믹서 제품이다. 토닉워터와 소주를 1:1의 비율로 믹싱해 마시는 '쏘토닉'이...",2019.12,12,보드카
15,15,2019.12.22.,헤럴드경제,‘취향존중’ 드링크로 개성파 홈파티족 공략,"하이트진로음료의 '진로믹서 토닉워터' 시리즈는 소주, 보드카, 진(Gin)과 같은 주류뿐 아니라 에이드로도 만들어 먹을 수 있는 한국형 칵테일 믹서 제품이다. 토닉워터와 소주를 1:1 비율로 믹싱해 마시는 '쏘토닉...",2019.12,12,보드카
16,16,2019.12.20.,베리타스알파,[2020정시특집] 경동대 가나다군 355명 모집.. 수능70+학생부30,"일본과 미국 대만 등 선진국은 해양심층수를 건강보조식품과 보드카 건강음료 만두 푸딩 아이스크림 등의 식품산업과 양식산업 등에 다양하게 활용하고 있으며, 의료산업에도 접목하여 큰 효과를 나타내고 있다....",2019.12,12,보드카
