,num,yyyymmdd,names,title,text,yyyymm,mm,mmdd,name
3,3,2019.12.31.,뉴스핌,[2020 뜨는 상품·서비스] 내년 장바구니엔 '이것'...식품 트렌드도 HMR 주도,"전통주 시장 규모는 2015년부터 꾸준히 커지고 있으며, 이를 전통 증류식 소주가 견인하는 것으로 나타났다. 수입 위스키로 대변되던 20도 이상의 고도주 시장에 취향이 변화하는 이들이 늘고 있다는 게 문 교수의...",2019.12,12,12.31,전통주
4,4,2019.12.31.,뉴스핌,"횡성 웰리힐리파크, 연말·연시 '통큰 이벤트' 주목",총 4회에 걸쳐 진행되는 행사는 웰리힐리파크 인근에 위치한 '국순당 주향로' 전통주 양조장을 견학한다. 전통주의 역사 바로알기와 함께 전통주 시음도 할 수 있다. 내년 1월 31일까지 전 객실에 '백세주 웰컴 드링크'도...,2019.12,12,12.31,전통주
5,5,2019.12.30.,한국영농신문,"""이번 명절에는 전통 명품주와 함께""",수상작을 전통주 소믈리에의 상세한 설명과 함께 선보였다. 주요 판매 전통주는 세종대왕어주 약주(대통령상) 우곡생주(탁주 부문 대상) 추사 40(증류주 대상) 그랑꼬또 청수 화이트와인 12(과실주 대상) 허니문와인...,2019.12,12,12.30,전통주
6,6,2019.12.30.,이코노미조선,＜박순욱의 술기행＞ [Interview] 강학모 송도향주조 대표 | “한국형 사케 ‘...,"이코노미조선=박순욱 조선비즈 선임기자 | 강학모성균관대 통계학과 졸업, 한국전통주연구소 전통주전문가 과정 수료 / 사진 박순욱 조선비즈 선임기자2018년 ‘대한민국 주류대상’에서 약주 부문 최고상인 ‘베스트...",2019.12,12,12.30,전통주
7,7,2019.12.30.,쿡앤셰프,전통주갤러리 / 1월 상설시음회 및 이달의 시음주 안내,강남역에 위치한 전통주갤러리(관장 김원일)에서는 시민들이 무료로 전통주 시음 체험을 할 수 있도록 매달 5종의 전통주를 선정해 상설시음회를 운영하고 있다. 2020년 1월 이달의 시음주는 2019년 우리술 품평회의...,2019.12,12,12.30,전통주
8,8,2019.12.30.,소믈리에타임즈,"'우리술의 가치' 전통주갤러리 무료시음회, 우곡생주부터 딸기술 티나(TINA)까...",강남역에 위치한 전통주갤러리(관장 김원일)에서는 시민들이 무료로 전통주 시음 체험을 할 수 있도록 매달 5종의 전통주를 선정해 상설시음회를 운영하고 있다. 2020년 1월 이달의 시음주는 2019년 우리술 품평회의...,2019.12,12,12.30,전통주
9,9,2019.12.30.,뉴스토마토,"카카오벤처스, 주류 도매 유통 플랫폼 '벨루가' 투자","벨루가브루어리는 향후 크래프트 맥주 외에도 전통주, 와인, 중국주 유통업체 등 다양한 주류 업체와 협력해 발주할 수 있는 주종을 확대하고, 국내 상점의 다양한 수요를 맞추는 통합 주류 플랫폼으로 성장할 계획이다....",2019.12,12,12.30,전통주
10,10,2019.12.30.,블로터,"주류 도매 유통 플랫폼 '벨루가', 카카오벤처스 투자 유치","벨루가브루어리는 크래프트 맥주 외에도 전통주, 와인, 중국주 유통업체 등 다양한 주류 업체와의 협력을 통해 발주 가능한 주종을 확대, 국내 모든 상점의 수요를 충족시킬 수 있는 통합 주류 플랫폼으로 성장하는 것이...",2019.12,12,12.30,전통주
11,11,2019.12.30.,디지털투데이,"카카오벤처스, 주류 유통 플랫폼 '벨루가브루어리'에 투자","현재 수제맥주(크래프트비어) 유통을 주력 사업으로 추진하고 있으며 향후 전통주, 와인 등으로 주종을 확대한다는 방침이다. 이번 투자와 관련해 장동욱 카카오벤처스 수석팀장은 ""벨루가비즈니스는 도매상이 겪어왔던...",2019.12,12,12.30,전통주
12,12,2019.12.30.,ZDNet Korea,"카카오벤처스, 주류 발주 플랫폼 벨루가브루어리에 투자","벨루가브루어리는 앞으로 크래프트 맥주 외에도 전통주, 와인, 중국주 유통업체 등 다양한 주류 업체와의 협력을 통해 발주 가능한 주종을 확대하는 것을 목표로 세웠다. 이를 통해 국내 모든 상점의 다양한 수요를...",2019.12,12,12.30,전통주
