,num,yyyymmdd,names,title,text,yyyymm,mm,mmdd,name
3,3,2019.12.31.,시빅뉴스,연말·연시 술자리의 불청객 '블랙아웃',지역을 불문하고 번화가의 밤이 시끌벅적하다. 연말을 맞이한 사람들의 약속에 웬만해선 술이 빠지지... 4인용으로 예상되는 테이블 위에 빈 소주병 5병이 보인다. 남녀 평균 6잔 이상의 음주는 폭음으로 간주한다(사진...,2019.12,12,12.31,지역소주
4,4,2019.12.31.,투데이코리아,"""캬~"" 소리 사라지는 소주 광고 등 새해부터 달라지는 7가지","화성상의 관계자는 ""화성지역 중소기업은 신규 충원을 원해도 인력을 구하기가 어려워 장시간 근로가 불가피하다""며 ""보다 중소기업의 현실에 맞는 유연근무제 제도 개선 뿐 만 아니라 중소기업 실정에 맞는 제도개선이...",2019.12,12,12.31,지역소주
5,5,2019.12.31.,비즈니스포스트,[Who Is ?] 문재인 대통령,부산 사상구를 지역구로 국회의원 선거에 출마해 정치에 본격적으로 들어섰다. 대통령 선거에 민주통합당... 주량은 소주 1병이지만 담배는 피우지 않는다. 2004년에 청와대 민정수석을 그만두고 네팔로 히말라야...,2019.12,12,12.31,지역소주
6,6,2019.12.31.,한국경제언론사 선정,[아듀 2019] 군대 영창 사라지고 카드로 월세…'알면 쓸모 있는' 2020년 바뀌...,최전방 지역 근무하는 병사들에게만 보급되던 동계 점퍼가 병사 전원 보급 등이 신설·개정됐다.... 아직까진 확정되지 않았지만 남인순 민주당 의원의 대표 발의에 따라 소주병을 비롯한 주류용기에 아이린·수지 등...,2019.12,12,12.31,지역소주
7,7,2019.12.31.,시사저널,정치판 바꿀 '포스트 386' X세대 정치인 시대 열렸다,정치인) 소주를 마셔야 한다. 너희들은 스스로에게 더욱 엄격해져야 한다'고 말했다. 김대중 전 대통령은... 2002년 대선부터 우리 정치 현장에서 지역구도가 약해지고 연령별 이념지향이 극명하게 나눠지고 있는 것을 볼...,2019.12,12,12.31,지역소주
8,8,2019.12.31.,데일리스포츠한국,강태공 바다사랑과 등대부품 울러 멘 피난길 등대지기,"3개 지역 지도를 참고하면 좋다. 이동 거리와 지역 특성에 감안해 코스를 잡으면 해안가와 먹거리를 즐기고... 나는 갓 잡아온 횟감에 소주 한 병을 사들고 갯바위 강태공 옆에 앉았다. ""많이 잡으셨어요?"", ""그냥 세월을...",2019.12,12,12.31,지역소주
9,9,2019.12.31.,오마이뉴스언론사 선정,"[허시명의 술술술] 12월 31일, 어쩌다 또 '술'로 한 해를 보냈을까","자연 풍경이 좋은 곳은 물이 좋고, 물이 좋으면 술도 좋을 거라 여겨, 그 고장의 술을 맛보면서 지역과 사람과... 외국인들이 한국 소주를 안다고 하는데, 그 술이 희석식 소주이지 전통 소주가 아니란다. 외국에서도 편하게...",2019.12,12,12.31,지역소주
10,10,2019.12.31.,브라보마이라이프,"[브라보! 투자 인사이트] 흔들리는 주류주 ""멀리 봐라""",특히 지역 확장 효과와 맥주 매출 성장이 주도할 것으로 예상된다. 소주 역시 이즈백 효과에 참이슬까지 수요가 동반 창출되는 만큼 안정적인 성장이 기대된다. 박은정 유안타증권 연구원은 “신제품 판매 호조로 핵심...,2019.12,12,12.31,지역소주
11,11,2019.12.31.,신아일보,[아듀! 2019] 日 불매·돼지열병 확산 속 뉴트로 인기,‘ 소주와 오비맥주의 ’오비라거‘ 등 뉴트로 상품들이 올 한해 봇물처럼 출시됐다. 뉴트로 제품들은... 북부지역 중심으로 확산돼 양돈농장에서만 14건이 발병했다. 정부는 돼지열병 확산을 막기 위해 선제적인 예방...,2019.12,12,12.31,지역소주
12,12,2019.12.31.,경남일보,[성낙주의 식품이야기] 고혈압과 식생활 (Ⅱ),"일반인의 1일 식염 섭취량은 평균 18g인 반면 고혈압 다발 지역으로 유명한 일본 아키다 지방에서의 고혈압... 30g이하의 알코올 섭취(맥주 1병, 소주 반병, 양주 더블 1잔, 정종 대포 1잔)는 고혈압 발병에 큰 영향을 주지...",2019.12,12,12.31,지역소주
